  3.6801200e+003  3.6680500e+003  3.6542500e+003  3.6176100e+003  3.5943800e+003  3.5634100e+003  3.5962600e+003  3.6014100e+003
  3.6784800e+003  3.6650200e+003  3.6510100e+003  3.6130000e+003  3.5891100e+003  3.5603500e+003  3.5919400e+003  3.5986300e+003
  3.6772300e+003  3.6633500e+003  3.6486300e+003  3.6089500e+003  3.5844900e+003  3.5574200e+003  3.5892200e+003  3.5978500e+003
  3.6764400e+003  3.6625600e+003  3.6467900e+003  3.6059200e+003  3.5830200e+003  3.5575200e+003  3.5899400e+003  3.5997500e+003
  3.6767600e+003  3.6652700e+003  3.6448800e+003  3.6061100e+003  3.5847000e+003  3.5716000e+003  3.5982700e+003  3.6046800e+003
  3.6821900e+003  3.6721900e+003  3.6429800e+003  3.6153900e+003  3.5870100e+003  3.5980600e+003  3.6093600e+003  3.6109400e+003
  3.6828600e+003  3.6713700e+003  3.6375300e+003  3.6136400e+003  3.5830700e+003  3.6077300e+003  3.6087900e+003  3.6094700e+003
  3.6811200e+003  3.6678100e+003  3.6308300e+003  3.6073200e+003  3.5758500e+003  3.6049600e+003  3.6049300e+003  3.6055600e+003
  3.6787000e+003  3.6654500e+003  3.6271000e+003  3.6041100e+003  3.5710700e+003  3.6022000e+003  3.6020800e+003  3.6022700e+003
  3.6769600e+003  3.6634700e+003  3.6255900e+003  3.6029200e+003  3.5707000e+003  3.6023100e+003  3.6061200e+003  3.6012700e+003
  3.6749300e+003  3.6612500e+003  3.6239800e+003  3.6012400e+003  3.5696900e+003  3.6026500e+003  3.6074600e+003  3.5997100e+003
  3.6715900e+003  3.6580700e+003  3.6216500e+003  3.5988200e+003  3.5657300e+003  3.6001400e+003  3.6049600e+003  3.5967900e+003
