   2.3000000e+03   1.9710000e+03
   2.5000000e+03   1.9720000e+03
   4.5000000e+03   1.9740000e+03
   2.9000000e+04   1.9790000e+03
   1.3400000e+05   1.9820000e+03
   2.7500000e+05   1.9850000e+03
   1.2000000e+06   1.9890000e+03
   3.1000000e+06   1.9930000e+03
   4.3000000e+06   1.9960000e+03
   7.5000000e+06   1.9970000e+03
   8.8000000e+06   1.9970000e+03
   9.5000000e+06   1.9990000e+03
   2.1300000e+07   1.9990000e+03
   2.2000000e+07   1.9990000e+03
   4.2000000e+07   2.0000000e+03
   5.4300000e+07   2.0030000e+03
   1.0590000e+08   2.0030000e+03
   2.2000000e+08   2.0030000e+03
   5.9200000e+08   2.0040000e+03
   2.4100000e+08   2.0060000e+03
   2.9100000e+08   2.0060000e+03
   5.8200000e+08   2.0060000e+03
   6.8100000e+08   2.0060000e+03
   7.8900000e+08   2.0070000e+03
   1.7000000e+09   2.0060000e+03
   2.0000000e+09   2.0080000e+03
   2.3000000e+09   2.0100000e+03
   2.6000000e+09   2.0110000e+03
   5.0000000e+10   2.0120000e+03
